ID,Name,Internal Name,PM %
300017049,Sample,,
300017057,Private Gym • 2BR • Modern Condo Downtown,St Louis,0.00%
300017553,Mins to Disney• Free Parking• Spanish Villa• WiFi,N Pass Ave - Andrew,15.00%
300017554,Outdoor Kitchen• Gameroom • Pool • King Suite,NE 9th Terrace - Alan,10.00%
300017555,Private Fenced Yard• King Bed • Grill• Fireplace,Redondo Rd - Lewis,20.00%
300017556,Sleeps 15 • Movie Room • Gameroom • Free Parking,S Perry St - Beverly,20.00%
300017557,Palm Tree Paradise in Dania Beach,Phippens Waiters Rd - Robert,20.00%
300017559,Private Backyard• Free Parking• Grill• Deck,Viola Ave. SW - Thomas,20.00%
300017560,Golden Coast Haven Steps to Dorado Beach,Dorado Puerto Rico - Steve,20.00%
300017561,Downtown Access • Huge Backyard • Free Parking,62nd Pl. - Queenet,10.00%
300017562,Private Ensuite Room- Free Parking • Free WiFi,Richardson Ave. - Joel,10.00%
300017563,Mountain Views • Hot Tub • Gameroom • Firepit,Lester Ln - Michael & Juli,10.00%
300017565,Waterfront House • Game Room • Fire Pit • Pavilion,Emerald Cove Rd - Connie & Bill,20.00%
300017566,Walk to Downtown Blair•Game Room +Fireplace,Washington St - Brad,12.50%
300017568,Mins to Beach• Pet Friendly• Private Yard• WiFi,Solimar Way - Brian,15.00%
300017569,New 3BR Lakefront Home w/ Dock + Fishing Pond,Harmony Cove Ln - Lynn,12.50%
300017570,Screened Pool • Pet Friendly • Grill • Near Beach,Waldrep St - Mike,15.00%
300017571,Beachfront • Outdoor Lounge + Parking,Marble St - Quincy,20.00%
300017573,Luxury Estate- Private Yard • 2 King Beds,Indiana St - Barry,10.00%
300017574,Mins from Beach! Private Pool & Garden • 4Ensuites,Calle 12 Sur - Kristi,10.00%
300017576,"Retreat Villa w/ Pool, Jacuzzi & Pet-Friendly Stay",Lentag KM 54.82 (Unit 1) - Torrin,10.00%
300017577,"King Bed Studio | 60"" HDTV | Safe | Close to Metra",GW - Own,0.00%
300017578,Pet-Friendly Nature Villa w/ Pool & Jacuzzis,Live the Life Pkwy (Unit 1) - Torrin,10.00%
300017579,Sleeps 40! 13BR•Heated Pool•Waterfront Resort•Spa,Compound - Own,0.00%
300017580,Puerto López Villa w/ Jacuzzi & Garage,Goodtimes Blvd (Unit 1) - Torrin,10.00%
300017581,Luxury King Bed • Remodeled Safe Chicago Condo,5105 River Rd 1E King Bed Studio - Joe,0.00%
300017582,"5 Mins to Beach! Pool, Jacuzzi, Mini-Golf, Games",Tracewood Ln. - Kelby,7.00%
300017583,Modern Condo • Safe Chicago Stay Near O’Hare,5105 River Rd 1G Lux Remodeled 1BR - Joe,0.00%
300017584,Central Myrtle Beach Stay Walk to Ocean,Chester St. Unit 108 - Vipen,8.00%
300017585,3BR Modern Apt • Gym • Workspace • Quiet Location,Unit #2 Osage 3BR - Joe,0.00%
300017586,Lakefront 3BR Indio Retreat with Backyard & Games,Travolta Ave.,10.00%
300017587,New Modern 3BR • Gym • Workspace • Quiet Location,Unit #3 Osage 3BR - Joe,0.00%
300017588,Spacious Backyard • Fireplace • Mins from Downtown,Kenwood Ct. (House) - Dwayne,10.00%
300017589,Sleeps 25! 9BR Htd Pool • Hot Tub• Golf Sim• Games,Spring St/Danielle Dr - Own,0.00%
300017591,Heated Pool & Spa •  Outdoor Kitchen/Theater/Games,Seminole St - Own,0.00%
300017592,Chic San Antonio Cottage: 5 Miles to Downtown,Pasadena - Daniel,20.00%
300017594,Executive Home • Private Yard• Free Parking • Pets,Sears Dr. (Unit B) - Christopher,15.00%
300017595,"8BR with Pool, Spa & Treehouse",Mendonsa - Gretchen,10.00%
300017596,Pet-Friendly 3BR/3BA • 15 Min to Airport,Sears Dr. (Unit A) - Christopher,15.00%
300017597,Heated Pool • Sleeps32•Pickle/Basketball • Theater,46th Ave - Own,0.00%
300017598,Private Fenced Backyard • Pet Friendly • Grill,Santa Elena Ave. - Sandra,12.50%
300017599,Luxury Waterfront Heated Pool & Dock Dander-Free,Bay Pointe - Jeffrey,15.00%
300017600,Outdoor Deck• Disc/Pool Table • Fireplace • Grill,Cable Rd - Mallikharjun,18.00%
300017601,Private Workspace •  Sleeps4 • Modern Stylish Stay,Waveland 1A - Michael,0.00%
300017602,"Outdoor Grill, Spacious Yard & Board Games",SW Laurelwood Rd - Sergey,7.00%
300017604,Budget-Friendly Room| Free Coffee | Downtown,S Michigan (Unit #01) - Ozzie (LEADING),15.00%
300017605,Sleeps 4 • New Modern 1BR • Private Workspace,Waveland 2A - Michael,0.00%
300017608,Walk to the Beach! Huge Dining Table - Botanic,Beverly Scarlet Hall - Annie,20.00%
300017610,Spacious Backyard • Fireplace • Mins from Downtown,Kenwood Ct. Unit A - Dwayne,10.00%
300017611,2BR • Newly Furnished Modern Apt • Near O'Hare,Potawatomie,0.00%
300017612,Spacious Backyard • Fireplace • Mins from Downtown,Kenwood Ct. Unit B - Dwayne,10.00%
300017616,"Walk to Downtown•Fire Pit•Backyard, Free Parking",Ray Rd - Alecia,10.00%
300017620,Modern Estate • Front Porch • Outdoor Seating,S Converse - Rosalyn,17.00%
300017622,Family Getaway – Panoramic Mountain Vistas,Buggy Barn Rd. - Ashley,12.50%
300017624,King Bed • Private Backyard • Grill and Fireplace,Lewis Ave. - Reginald,15.00%
300017626,"3BR Home with Pool & Parking, Solar Power",Shadow Ln. - Scott,20.00%
300017628,"55+ Mountain Escape | Pool, Hot Tub, Tennis, Gym",Forest Rd - Josef,10.00%
300017630,Gated Townhome • Pet-Friendly • Gym • Office,S 34th St. (ALL UNITS) - Doug,10.00%
300017636,Detroit Retreat • Fire Pits + Gazebo & Grill,Abington Ave - LeVita,10.00%
300017640,Pet-Friendly • Outdoor Space + Parking,NE 1st Terrace - Maria,10.00%
300017642,Walk to Markets•Backyard+Free Parking•English Help,Via Angelone - Jessica,10.00%
300017644,Fenced Backyard • Pet Friendly • Garage Parking,Ashley Dr - Sandra,12.50%
300017646,Private Fenced Backyard • Pet Friendly • Grill,Lilly Dr. - Sandra,12.50%
300017647,2BR • Sleeps7 • Coffee Station • Backyard w/ Grill,Drummond - Unit 2,0.00%
300017648,Serene 4BR Mouth of Wilson Countryside Retreat,Racing River - Julie,15.00%
300017649,2BR w/ Workspace - Coffee Bar - Near Transit,Drummond - Unit 1,0.00%
300017650,Vermont Retreat: 3BR with Mountain Views & Trails,Old Post - Albert,15.00%
