id,name,nickname,status,bedrooms,bathrooms,accommodates,propertyTypeId,propertyTypeName,roomTypeId,roomTypeName,city,state,country,zipcode,latitude,longitude,basePrice,currency,weeklyDiscount,monthlyDiscount,cleaningFee,securityDeposit,minimumStay,maximumStay,checkInTime,checkOutTime,ownerId,createdAt,updatedAt,channelCount,photoCount,amenityCount
169541,Sleeps 40! 13BR•Heated Pool•Waterfront Resort•Spa,,,,,,8,,,,,,,,,,,,0.67,,550,,,,,10,,,,0,0,0
169542,Elmwood Park Remodeled Studio Condo,,,,,,1,,,,,,,,,,,,0.9,0.5,150,,,,,11,,,,0,0,0
169543,Mins from O'Hare • Safe Location • Private Parking,,,,,,1,,,,,,,,,,,,0.55,0.5,150,,,,,10,,,,0,0,0
169588,Lakeside Retreat-4plex Sleeps 20,,,,,,8,,,,,,,,,,,,,,500,,,,,10,,,,0,0,0
170031,#1 Rated Mansion • Heated Pool/Spa • Theater • Gym • Game Room,,,,,,8,,,,,,,,,,,,0.8,0.75,350,,,,,10,,,,0,0,0
170743,Cozy Home Sleeps 10 Lombard Chicago Suburb,,,,,,2,,,,,,,,,,,,0.45,0.35,200,,,,,11,,,,0,0,0
171429,Clearwater Beach House • Heated Pool • Hot Tub,,,,,,8,,,,,,,,,,,,0.75,0.6,200,,,,,10,,,,0,0,0
176084,2BR • Sleeps 7 •  King Bed • Prime Location,,,,,,1,,,,,,,,,,,,0.9,0.6,150,,,,,10,,,,0,0,0
176279,Top Rated Condo • King Bed • Safe Historic Location,,,,,,1,,,,,,,,,,,,0.9,0.6,150,,,,,10,,,,0,0,0
176280,Top Rated Condo • 65” TV • Family-friendly 2BR,,,,,,1,,,,,,,,,,,,0.9,0.6,150,,,,,10,,,,0,0,0
176657,King Bed • 2BR • Sleeps 13 • Historic Location,,,,,,1,,,,,,,,,,,,0.9,0.6,150,,,,,10,,,,0,0,0
176658,Elmwood Park 2 BR Condo (Great for Kids!),,,,,,1,,,,,,,,,,,,0.95,0.6,150,,,,,10,,,,0,0,0
176698,Sleeps 25+ 6BR Waterfront • Heated Pool • Hot Tub • Game Room • Firepit,,,,,,8,,,,,,,,,,,,0.8,0.75,250,,,,,10,,,,0,0,0
198945,Luxury King Bed • Remodeled Safe Chicago Condo,,,,,,1,,,,,,,,,,,,0.9,0.7,200,,,,,10,,,,0,0,0
229451,Luxurious Remodeled 1BR Condo,,,,,,1,,,,,,,,,,,,0.7,0.5,150,,,,,11,,,,0,0,0
241916,Sleeps 25 • Heated Pool • Indoor/Outdoor Games• Theater,,,,,,8,,,,,,,,,,,,,,350,,,,,10,,,,0,0,0
257750,3BR Modern Apt • Gym • Workspace • Quiet Location,,,,,,1,,,,,,,,,,,,0.8,0.65,200,,,,,10,,,,0,0,0
272036,New Modern 3BR • Gym • Workspace • Quiet Location,,,,,,1,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
275594,Sleeps 25+ 9BR Heated Pool • Hot Tub • Golf Simulator,,,,,,8,,,,,,,,,,,,0.8,0.75,500,,,,,10,,,,0,0,0
